Blank OD is 14.7570
Time OD Volume Z Media ODpost
30.53 1.0000 0.0000 200.0000 0.0000 0.0 0.0005
146.77 1.0000 -0.0004 200.0000 0.0000 0.0 0.0003
263.13 1.0000 -0.0003 200.0000 0.0000 0.0 -0.0001
379.41 1.0000 0.3221 200.0000 0.0000 0.0 0.3251
495.70 1.0000 0.3247 200.0000 0.0000 0.0 0.3179
611.92 1.0000 0.3234 200.0000 0.0000 0.0 0.3150
728.18 1.0000 0.3199 200.0000 0.0000 0.0 0.3217
844.51 1.0000 0.3241 200.0000 0.0000 0.0 0.3259
960.76 1.0000 0.3247 200.0000 0.0000 0.0 0.3214
1077.04 1.0000 0.3329 200.0000 0.0000 0.0 0.3349
1193.30 1.0000 0.3352 200.0000 0.0000 0.0 0.3333
1309.51 1.0000 0.3412 200.0000 0.0000 0.0 0.3342
1425.73 1.0000 0.3459 200.0000 0.0000 0.0 0.3432
1542.07 1.0000 0.3515 200.0000 0.0000 0.0 0.3515
1658.34 1.0000 0.3549 200.0000 0.0000 0.0 0.3535
1774.55 1.0000 0.3621 200.0000 0.0000 0.0 0.3604
1890.80 1.0000 0.3663 200.0000 0.0000 0.0 0.3618
2007.06 1.0000 0.3798 200.0000 0.0000 0.0 0.3748
2123.35 1.0000 0.3852 200.0000 0.0000 0.0 0.3806
2239.59 1.0000 0.3903 200.0000 0.0000 0.0 0.3905
2355.91 1.0000 0.3979 200.0000 0.0000 0.0 0.4010
2472.16 1.0000 0.4076 200.0000 0.0000 0.0 0.4055
2588.43 1.0000 0.4180 200.0000 0.0000 0.0 0.4160
2704.74 1.0000 0.4263 200.0000 0.0000 0.0 0.4263
2821.02 1.0000 0.4410 200.0000 0.0000 0.0 0.4334
2937.28 1.0000 0.4483 200.0000 0.0000 0.0 0.4454
3053.47 1.0000 0.4631 200.0000 0.0000 0.0 0.4625
3169.76 1.0000 0.4716 200.0000 0.0000 0.0 0.4760
3285.97 1.0000 0.4843 200.0000 0.0000 0.0 0.4815
3402.17 1.0000 0.5031 200.0000 0.0000 0.0 0.4969
3518.37 1.0000 0.5146 200.0000 0.0000 0.0 0.5085
3634.61 1.0000 0.5283 200.0000 0.0000 0.0 0.5267
3750.85 1.0000 0.5392 200.0000 0.0000 0.0 0.5329
3867.04 1.0000 0.5511 200.0000 0.0000 0.0 0.5562
3983.25 1.0000 0.5709 200.0000 0.0000 0.0 0.5660
4099.48 1.0000 0.5837 200.0000 0.0000 0.0 0.5786
4215.77 1.0000 0.5950 200.0000 0.0000 0.0 0.5986
4331.97 1.0000 0.6181 200.0000 0.0000 0.0 0.6174
4448.20 1.0000 0.6329 200.0000 0.0000 0.0 0.6324
4564.49 1.0000 0.6416 200.0000 0.0000 0.0 0.6490
4680.78 1.0000 0.6597 200.0000 0.0000 0.0 0.6696
4797.04 1.0000 0.6749 200.0000 0.0000 0.0 0.6740
4913.32 1.0000 0.6974 200.0000 0.0000 0.0 0.6913
5029.55 1.0000 0.7224 200.0000 0.0000 0.0 0.7180
5145.75 1.0000 0.7290 200.0000 0.0000 0.0 0.7366
5261.95 1.0000 0.7494 200.0000 0.0000 0.0 0.7385
5378.22 1.0000 0.7602 200.0000 0.0000 0.0 0.7679
5494.50 1.0000 0.7890 200.0000 0.0000 0.0 0.7849
5610.82 1.0000 0.8002 200.0000 0.0000 0.0 0.8058
5727.11 1.0000 0.8223 200.0000 0.0000 0.0 0.8150
5843.42 1.0000 0.8406 200.0000 0.0000 0.0 0.8456
5959.74 1.0000 0.8664 200.0000 0.0000 0.0 0.8579
6075.95 1.0000 0.8823 200.0000 0.0000 0.0 0.8764
6192.25 1.0000 0.9038 200.0000 0.0000 0.0 0.8944
6308.55 1.0000 0.9128 200.0000 0.0000 0.0 0.9216
6424.79 1.0000 0.9355 200.0000 0.0000 0.0 0.9359
6541.07 1.0000 0.9717 200.0000 0.0000 0.0 0.9574
6657.36 1.0000 0.9911 200.0000 0.0000 0.0 0.9786
6773.59 1.0000 1.0118 200.0000 0.5917 0.0 1.0054
6889.79 1.0000 1.0280 200.0000 1.9939 0.0 1.0258
7006.06 1.0000 1.0515 200.0000 4.5698 0.0 1.0367
7122.26 1.0000 1.0621 200.0000 7.6724 0.0 1.0734
7238.51 1.0000 1.0829 260.4329 11.8160 0.0 1.0808
7354.73 1.0000 1.0943 299.4965 16.5320 0.0 1.0770
7471.01 1.0000 1.1100 352.0995 22.0332 0.0 1.1139
7587.27 1.0000 1.1277 411.5048 28.4179 0.0 1.1238
7703.59 1.0000 1.1319 430.8103 35.0145 0.0 1.1353
7819.83 1.0000 1.1385 457.5215 41.9409 0.0 1.1236
7936.11 1.0000 1.1355 455.1774 48.7152 0.0 1.1087
8052.41 1.0000 1.1485 501.7240 56.1416 0.0 1.1283
8168.66 1.0000 1.1493 511.4964 63.6065 0.0 1.1179
8284.93 1.0000 1.1479 514.8535 71.0039 0.0 1.1011
8401.21 1.0000 1.1356 484.6831 77.7856 0.0 1.1196
8517.54 1.0000 1.1358 492.1137 84.5778 0.0 1.1042
8633.84 1.0000 1.1328 489.6494 91.2184 0.0 1.1267
8750.14 1.0000 1.1400 518.1844 98.2178 0.0 1.1136
8866.44 1.0000 1.1421 531.6556 105.3233 0.0 1.1155
8982.74 1.0000 1.1323 508.8893 111.9392 0.0 1.1088
9099.04 1.0000 1.1424 546.3649 119.0609 0.0 1.1074
9215.35 1.0000 1.1266 505.0709 125.3889 0.0 1.1110
9331.65 1.0000 1.1344 535.4529 132.1113 0.0 1.0954
9447.96 1.0000 1.1235 508.7320 138.2854 0.0 1.1009
9564.28 1.0000 1.1306 536.4981 144.8135 0.0 1.0970
9680.48 1.0000 1.1177 503.6538 150.6961 0.0 1.0915
9796.78 1.0000 1.1107 488.4140 156.2325 0.0 1.0845
9913.10 1.0000 1.1223 529.1911 162.3465 0.0 1.1014
10029.32 1.0000 1.1169 518.9829 168.1930 0.0 1.0985
10145.56 1.0000 1.1145 517.4567 173.9187 0.0 1.0897
10261.80 1.0000 1.1146 523.5253 179.6499 0.0 1.0940
10378.05 1.0000 1.1118 520.5914 185.2391 0.0 1.0872
10494.25 1.0000 1.0933 469.9408 189.9064 0.0 1.0827
10610.47 1.0000 1.1003 495.6857 194.9191 0.0 1.0695
10726.69 1.0000 1.1066 520.1606 200.2510 0.0 1.0806
10843.00 1.0000 1.1065 525.2044 205.5781 0.0 1.0805
10959.30 1.0000 1.1008 512.9474 210.6169 0.0 1.0769
11075.61 1.0000 1.0972 506.9886 215.4755 0.0 1.0914
11191.91 1.0000 1.0891 487.1701 219.9295 0.0 1.0669
11308.21 1.0000 1.1039 536.7225 225.1228 0.0 1.0711
11424.47 1.0000 1.1027 538.4389 230.2591 0.0 1.0743
11540.75 1.0000 1.0872 496.1028 234.6172 0.0 1.0497
11656.99 1.0000 1.0817 483.6614 238.6999 0.0 1.0611
11773.26 1.0000 1.0820 488.6826 242.7980 0.0 1.0681
11889.57 1.0000 1.0834 497.2771 246.9698 0.0 1.0705
12005.80 1.0000 1.0836 501.9240 251.1494 0.0 1.0577
12122.08 1.0000 1.0915 530.1263 255.7228 0.0 1.0483
12238.38 1.0000 1.0784 494.7749 259.6416 0.0 1.0687
12354.69 1.0000 1.0699 472.9879 263.1391 0.0 1.0563
12471.00 1.0000 1.0755 493.5152 266.9158 0.0 1.0460
12587.30 1.0000 1.0735 490.9534 270.5885 0.0 1.0551
12703.60 1.0000 1.0797 513.6695 274.5735 0.0 1.0524
12819.92 1.0000 1.0716 492.9800 278.1539 0.0 1.0528
12936.23 1.0000 1.0694 489.8619 281.6245 0.0 1.0587
13052.53 1.0000 1.0678 488.3594 285.0136 0.0 1.0368
13168.85 1.0000 1.0721 504.9712 288.6195 0.0 1.0451
13285.16 1.0000 1.0614 475.9819 291.6910 0.0 1.0409
13401.43 1.0000 1.0652 490.4812 294.9499 0.0 1.0398
13517.72 1.0000 1.0579 471.4277 297.8429 0.0 1.0269
13634.00 1.0000 1.0570 471.5989 300.6914 0.0 1.0542
13750.28 1.0000 1.0538 464.6311 303.3789 0.0 1.0480
13866.59 1.0000 1.0563 475.1966 306.1956 0.0 1.0320
13982.91 1.0000 1.0595 487.5259 309.1682 0.0 1.0459
14099.23 1.0000 1.0488 457.9220 311.6068 0.0 1.0213
14215.53 1.0000 1.0440 445.9557 313.8093 0.0 1.0472
14331.82 1.0000 1.0485 461.8691 316.2365 0.0 1.0243
14448.12 1.0000 1.0513 472.6200 318.8001 0.0 1.0316
14564.40 1.0000 1.0420 446.9944 320.9017 0.0 1.0286
14680.68 1.0000 1.0497 472.6143 323.3888 0.0 1.0212
14796.98 1.0000 1.0562 494.6490 326.1963 0.0 1.0251
14913.30 1.0000 1.0358 435.4544 327.9874 0.0 1.0207
15029.55 1.0000 1.0528 488.9887 330.6268 0.0 1.0348
15145.80 1.0000 1.0530 492.2924 333.2771 0.0 1.0175
15262.00 1.0000 1.0420 461.4944 335.3790 0.0 1.0056
15378.27 1.0000 1.0371 448.4812 337.2331 0.0 1.0216
